char,hex,count,id,snippet
厦,U+53A6,1,menu_dic_eg_du_sand#1,尤其，半熟因特大厦的出没特别快！
厨,U+53A8,1,ev_solo_atashi17#0,伊奈：来呀，我地下的公主厨房
吨,U+5428,1,eg_pw_roll_at2,兆吨压制
吩,U+5429,1,dg_common_tekken64#2,应该说，是被吩咐这么说的！
吭,U+542D,1,eg_cv_mkai_ms22,夫妇：巨大的冲击星一声不吭！
呗,U+5457,1,ev_february11#1,伊奈做了就拿她的呗？
呻,U+547B,1,d_dung_0509#2,听见那边在呻吟！
咏,U+548F,1,ev_gho_int_c15#1,靠反复吟咏才能感到冲击
咐,U+5490,1,dg_common_tekken64#2,应该说，是被吩咐这么说的！
咪,U+54AA,1,eg_pk_musu_ms11,捕获他组：捕获他组在巴咪的地方降了起来。
哗,U+54D7,1,okunote_yoiko_tk#0,咔。啪唧。砰。咯嘣咯嘣。哗。
哞,U+54DE,1,eg_pk_milk_vo3#1,哞。到客界了哦。。
唬,U+552C,1,eg_we_kinu_at2,吓唬
喹,U+55B9,1,eg_pw_116_vo32#0,豚悟空：沙悟净喹————。。
喻,U+55BB,1,d_dung_0142#0,呀——！来势汹汹的珠部隐喻呢！
嗖,U+55D6,1,menu_dic_eg_du_dopl#1,然后嗖地被自己吞掉了！
嘁,U+5601,1,eg_pk_meds_l,美杜莎：嘁。给我记住。。
嘉,U+5609,1,ev_c_call23#0,蒂安：继曲子之后，可疑的嘉宾出演。
嘶,U+5636,1,eg_du_zibu_at1,嘶。
噔,U+5654,1,eg_tg_flya_d2,欧米茄飞手：咯噔。差点把鸣门弄掉。
嚏,U+568F,1,ev_mon_cl40#0,莉·伊奈：啊，终于打出喷嚏了哟
嚷,U+56B7,1,ev_gen_no539#2,噢呀噢呀：所以说，嚷着赶紧收工的人可少见！
嚼,U+56BC,1,eg_bo_motk_vo25_c,莫特·库蒙：嚼起来好脆4哟
坍,U+574D,1,menu_dic_eg_cl_akem#0,地面坍塌以外的剑术没他出场的份
坡,U+5761,1,eg_we_bdhm_w,屋台达势大知：坡上街的和平，由这屋台达势
坨,U+5768,1,ev_gho_pla02,弗莱迪：简直是矗立着的一坨啊。
坪,U+576A,1,ev_march10#1,当然是帅哥飞行员和直升机坪旁
埴,U+57F4,1,menu_dic_144#6,兴趣特技：少见的埴轮
堀,U+5800,1,eg_cl_siro_vo12#0,星防卫军：优帝宫王鬼向堀井雄二鸟山明
堕,U+5815,1,eg_ev_lucu_at2,让人堕落
堡,U+5821,1,ev_ending130b,派：俺要汉堡。
填,U+586B,1,menu_dic_331#6,兴趣特技：填补寂寞的
墅,U+5885,1,ev_solo_atashi46#0,卡特莉·伊奈：豪华别墅里，被薰衣草香包围着
墟,U+589F,1,ev_tue_st03#0,梅尔克里：这里就是废墟之星
墩,U+58A9,1,eg_du_wall_d,墙人：墩在那儿！
壁,U+58C1,1,d_wed_0013#1,有自由穿过墙壁的威力
夷,U+5937,1,ev_solo_inu52#1,变成「夏威夷状书外间势中的偶像」的部
奢,U+5962,1,d_dung_0670#0,索皮尼翁：虽说是奢望
奴,U+5974,1,ev_gen_no535,小奴曼：先生超菜！
妮,U+59AE,1,menu_dic_106#6,兴趣特技：安妮部队
姜,U+59DC,1,ev_february4#1,姜泥再加鲣鱼拍打
娱,U+5A31,1,eg_pw_tagm_vo32#1,阿尔冯斯：日本第一的娱乐漫画。。
婪,U+5A6A,1,d_egg_ev03_02#2,是一片沉溺于战乱的贪婪之地！
媚,U+5A9A,1,eg_pw_kimr_w#1,不向连喜献媚的奇美拉王。
媛,U+5A9B,1,ev_mon_bs20#0,浪漫女王：纵被称为才媛
季,U+5B63,1,ev_june1#0,卡特莉·伊努：啊，梅雨季潮乎乎的
孽,U+5B7D,1,d_egg_ev07_05#2,知晓罪孽之深的人！
宅,U+5B85,1,menu_dic_105#3,擅长：我是宅，不过
宏,U+5B8F,1,dg_common_seal#2,横跨宇宙的宏大迷宫
宕,U+5B95,1,eg_bo_emtp_l#1,主系统宕机！
宛,U+5B9B,1,gameover_all24b#1,宛如卡特莉·伊奈的怒火本身
宣,U+5BA3,1,ev_solo_egg6#1,名叫爱的宣泄哟
宰,U+5BB0,1,d_dung_0488#0,人的爹：儿子的买卖，有点宰客呢！
尊,U+5C0A,1,general_36_w,俺／尊敬。
屏,U+5C4F,1,ev_march13#0,卡特莉·伊奈：和屏幕对面素不相识的男性
岸,U+5CB8,1,ev_gho_int_a07#0,梅尔克里：自遥远彼岸俯视我们的
崭,U+5D2D,1,ev_thu_cl38#2,向着崭新的出路延伸枝叶！
巢,U+5DE2,1,ev_ending133,梅尔克里：巢鸭的拔刺地藏在叫吾哪！
帖,U+5E16,1,f_thu_13#1,是宫殿给我的，钻石婚礼请帖的
幼,U+5E7C,1,ev_fri_cl66#2,幼小种族也差不多！
府,U+5E9C,1,ev_ending25#1,地球联邦总统府来电！
庭,U+5EAD,1,ev_solo_egg13#1,小份披萨和家庭装炸鸡和
弧,U+5F27,1,trump_bumeran_ms,挥舞起传说之弧。
径,U+5F84,1,f_ear_14#2,的是通往艾格妈妈的最短路径。
忧,U+5FE7,1,general_68_l,忧郁！
怵,U+6035,1,ev_gho_bs09#0,马蒂斯：嘿嘿，我可有点发怵啊，俺！
恍,U+604D,1,ev_gen_no530#1,皮亚皮亚涅：恍惚着对不起！
患,U+60A3,1,d_dung_0287#1,迟早会成为妖精未来的大患！
惚,U+60DA,1,ev_gen_no530#1,皮亚皮亚涅：恍惚着对不起！
惦,U+60E6,1,d_dung_0400#1,惦记着您！
惫,U+60EB,1,ev_spring3#1,要治愈疲惫的身子和干枯的姿
憋,U+618B,1,ev_sun_st50#1,憋不住了哇。
戚,U+621A,1,ev_col_extra36#0,女主播：抱歉，接下来有亲戚的
戟,U+621F,1,eg_ms_mogu_at1,三叉戟
截,U+622A,1,d_dung_1002#1,迷宫研究员：要是斩钉截铁说做错了就好了
扳,U+6273,1,dg_tutorial02_4#2,再扳拉杆就会关上，要注意呐！
抄,U+6284,1,menu_trump134#1,死神正在抄袭！
抑,U+6291,1,ev_thu_cl46#1,这颗邪恶蛋，能抑制怪物化的进行
抚,U+629A,1,ev_mon_cl29#1,抚养长大！
拎,U+62CE,1,menu_dic_eg_du_fraf#1,每天拎回一升瓶，整颗心往下灌！
拗,U+62D7,1,menu_dic_eg_cl_ugok#2,大概谁也拗不过！
拦,U+62E6,1,ev_ear_cl87b#0,塞巴斯蒂安：拦住核导弹，护住卡特莉·德
拨,U+62E8,1,d_dung_0747#2,你们也许是头一拨！
捂,U+6342,1,ev_gen_no496_2#4,要说什么的那张嘴，我轻轻捂上！
捧,U+6367,1,eg_tg_tken_at2#2,猪也一捧就会潜进況
措,U+63AA,1,ev_gho_bs18#1,那种傻乎乎客气措辞尽头的
掺,U+63BA,1,menu_dic_eg_pw_bari#1,这种连一掺进来工作就没了，
揪,U+63EA,1,eg_ev_veno_d,毒液酱：毒液酱的能揪了一下。
撩,U+64A9,1,eg_bo_fuyu_vo3_2#0,冬子：特辑的【撩心小动作一百选】呀
擒,U+64D2,1,menu_trump021#2,擒杀掉！
斜,U+659C,1,menu_dic_eg_du_coin#0,的一枚硬币，心情稍微有点斜！
斧,U+65A7,1,okunote_maru_tk#0,超级黄金金属斧炸弹打击光线
旱,U+65F1,1,menu_dic_31#6,兴趣特技：假日滑旱冰
昨,U+6628,1,ev_solo_inu26#1,啊，昨天的薯片也扔进去！
昵,U+6635,1,planet_08_help#1,还有友的亲昵之造
晋,U+664B,1,ev_mon_st09#1,贫弱，前去晋见星球王族的将军
权,U+6743,1,ev_ear_cl07#2,是为了其中掌权者的先走吧！
枕,U+6795,1,ev_solo_egg17#2,鸣门先枕和铂金钻石饰品呢呀
林,U+6797,1,menu_dic_eg_ms_tryu#0,从负林子里飞出来的蛋怪！
枝,U+679D,1,ev_thu_cl38#2,向着崭新的出路延伸枝叶！
柜,U+67DC,1,eg_ev_nodt_vo13,被阵的死神：要出柜了死。
柳,U+67F3,1,ev_gen_no537#0,畔柳：你好。初次见面是吗？
校,U+6821,1,menu_dic_203#7,是人生的大学分校！
桌,U+684C,1,eg_du_caml_vo1,变色龙人：来教教你餐桌礼仪！
梁,U+6881,1,d_dung_1004#35,手：成为通向和平世界的桥梁！
棱,U+68F1,1,menu_dic_eg_pw_moon#0,飞读造星了的、月光棱镜的白体美！
椰,U+6930,1,ev_solo_atashi35#0,和美容，怎么抓都抓不住的椰果！
檐,U+6A90,1,eg_le_grcl_d,石像鬼：石像鬼从屋檐上掉下来了！
殃,U+6B83,1,ev_june12#1,四分之一的将军遭了殃！
殆,U+6B86,1,ev_tue_pre01#0,荒废殆尽的重装星上
殴,U+6BB4,1,eg_cv_bari_d,巴里佐贡：巴里佐贡对互殴很怕！
毯,U+6BEF,1,f_thu_25#1,早点让我把婚礼红毯
氧,U+6C27,1,eg_le_kegg_vo3#2,艾格曼王：脱氧核糖瑞士虫锗光————束
氨,U+6C28,1,ev_solo_egg15#2,因为在减肥，氨基酸补充剂也要呢呀
江,U+6C5F,1,eg_cv_heij_l,机器人捕快：哦、哦江户的和平是！
污,U+6C61,1,ev_ear_st05,梅尔克里：大气也像是被污染得很厉害哪！
沌,U+6C8C,1,eg_bo_mots_vo34,莫特·苏蒙：混沌漩涡4。
沸,U+6CB8,1,menu_dic_eg_we_ttya#0,一待让世心沸腾的星威力本力力，
沼,U+6CBC,1,eg_le_177_at1,沼气
泽,U+6CFD,1,menu_dic_257#6,兴趣特技：舒泽特小姐
洁,U+6D01,1,d_egg_ev06_04#1,是因为那是怀着纯洁之心的
洲,U+6D32,1,ev_solo_egg5#1,名叫爱的绿洲哟
浅,U+6D45,1,d_dung_0114#1,喜欢浅的人？
淘,U+6DD8,1,eg_pk_bbms_ms21#1,真拿这淘气精没办法攻
渊,U+6E0A,1,eg_le_hdes_w,哈迪斯：绕过恐怖，在死渊边沉睡。
渚,U+6E1A,1,ev_solo_atashi55#1,变成「渚边性感轰炸机」的部队
渡,U+6E21,1,menu_dic_eg_ms_efdr#1,自己的看占有时也了军着，渡着世心！
渺,U+6E3A,1,d_dung_0761#1,自己是多么渺小的存在！
湖,U+6E56,1,eg_pk_prim_vo1,首席：是天鹅湖落
溪,U+6EAA,1,dg_telop_03,——：与溪流的」合——
滓,U+6ED3,1,general_22_l,少开玩笑，跪下渣滓们。
漱,U+6F31,1,d_dung_0141#1,漱口的水不要喝
烁,U+70C1,1,f_fri_06#0,梅尔克里：闪烁的力量
焦,U+7126,1,eg_pk_milk_vo2#0,米尔基：那么焦躁，是缺钙呢。
煞,U+715E,1,ev_sun_st64a,卡特莉·伊奈：嗯嘛，多煞风景的怪陨石。
煤,U+7164,1,eg_bo_boil_at3_kata_21,绘美：煤气味。？
煽,U+717D,1,eg_bo_boil_vo23,四次元煮蛋：把祭典煽起来4，超越次元。
熊,U+718A,1,eg_cl_judo_vo2,柔道家：这招能埋熊吗？
熏,U+718F,1,trump_kusukan_ms#0,鼻子都要被熏歪的味道。
熬,U+71AC,1,d_sun_0023#0,孩子：熬夜还会挨骂
熵,U+71B5,1,menu_dic_eg_le_kaba#1,他使的不合不虽与熵的一食／复逃不一配，
燕,U+71D5,1,ev_march9#2,鱼翅和燕窝，还有鱼翅和唐培里侬呀
燥,U+71E5,1,planet_02_help#1,干燥的星
犰,U+72B0,1,ev_march45#0,梅尔克里：呣，这就是犰狳吗！
犸,U+72B8,1,eg_bo_motk_vo21,莫特·库蒙：我开动了猛犸4。。
狳,U+72F3,1,ev_march45#0,梅尔克里：呣，这就是犰狳吗！
狸,U+72F8,1,eg_cu_runa_w#0,赢了赢了——咔钦咔钦——狸猫——
玄,U+7384,1,menu_dic_eg_le_denb#1,以前叫玄武这个合，本人却中意这姿
琪,U+742A,1,trump_engelin1#0,使用了安琪琳。
瓢,U+74E2,1,eg_cl_tiki_at1,干瓢
瓣,U+74E3,1,ev_march3#1,稍微失手，豆瓣酱和拌海胆
甚,U+751A,1,thu_f01_help#1,甚至感到巨大的气息
甸,U+7538,1,ev_ear_cl51#1,天空与恶灵与伊甸与被引导的传说大地
畏,U+754F,1,ev_thu_bs03#0,？？？？世人满怀畏惧，如此称呼吾
畔,U+7554,1,ev_gen_no537#0,畔柳：你好。初次见面是吗？
痴,U+75F4,1,ev_mon_cl19#1,闹成痴情纷争，续篇也会受影响呢
痹,U+75F9,1,eg_ev_gost_ms31#1,全部威力下降，麻痹，中毒了。。
瘫,U+762B,1,trump_kusukan_ms#1,瘫软下去了！
皆,U+7686,1,general_69_w,一切生者，皆有爱！
盂,U+76C2,1,ev_solo_caution14#6,盂兰盆
盈,U+76C8,1,eg_ms_flzb_d,孩：咔嚓。冰冻男孩口感轻盈！
盲,U+76F2,1,eg_bo_aki_at3,爱打败盲
眨,U+7728,1,eg_pw_nymp_at1,嗯哼眨眼
睁,U+7741,1,d_fri_0010#1,我大体睁一只眼闭一只眼
督,U+7763,1,ev_gen_no540#4,兼职监督的委托和调试企划
睫,U+776B,1,dg_common_tekken44,勇：睫毛膏
瞟,U+779F,1,eg_pw_kimr_vo2#1,奇美拉王：眼睛瞟开装没看见吗
磺,U+78FA,1,ev_solo_egg17#1,鲭鱼香水和硫磺会场的连和
祥,U+7965,1,menu_dic_eg_le_fzer#2,再不早点被做成吉祥物就要生势军空，最近这么
祷,U+7977,1,ev_solo_uematsu19#2,祈祷，在被赐予的预言之下
税,U+7A0E,1,d_dung_0505#1,含税「3000波奇利」
穷,U+7A77,1,ev_solo_inu43#1,通宵了，穷得超惨啊！
窗,U+7A97,1,²¯eXg,窗口要漏出去了。
笹,U+7B39,1,ev_gen_no526,笹龙：今天的写集录像带选哪
筷,U+7B77,1,menu_dic_eg_du_hega#0,筷子夹了也好笑的那年报的、
篷,U+7BF7,1,boss_mots_actmenu#0,把斗篷闭上
粪,U+7CAA,1,d_dung_0145#0,：现在出门绝对会踩到象的粪呢！
纱,U+7EB1,1,test_gameover20#0,特莉·伊奈：戴上一殿的面纱
纷,U+7EB7,1,ev_mon_cl19#1,闹成痴情纷争，续篇也会受影响呢。
纺,U+7EBA,1,d_egg_ev04_06#1,然后，把历史纺下去呢。
绒,U+7ED2,1,menu_dic_567#3,擅长：雪绒花
络,U+7EDC,1,d_dung_0032#2,都是因为没好好联络！
绽,U+7EFD,1,ev_solo_uematsu17#1,玫瑰绽放的大地在歌唱
缕,U+7F15,1,menu_dic_eg_pk_aiss#2,连欲的战入里，现在，一缕静在事着！
缸,U+7F38,1,ev_sun_cl44#2,宇宙也不过像浴缸一样哟。
罕,U+7F55,1,ev_thu_cl56#0,塞巴斯蒂安：半熟史上罕见的严肃展开
羞,U+7F9E,1,general_94_w,别、别看。好害羞。
羡,U+7FA1,1,menu_dic_eg_ms_hang#2,却休姿羡慕他赚得好！
耻,U+803B,1,ev_ending24#1,作为地球人，可耻至极！
職,U+8077,1,ev_gen_no495#0,时田：游戏職人时田贵司加入了伙伴。
肋,U+808B,1,eg_cl_judo_vo1,柔道家：肋骨能带走几根？
肝,U+809D,1,ev_ending141#0,伊奈：金枪鱼肚和海胆和鹅肝和鲍鱼和
肪,U+80AA,1,menu_dic_208#1,脂肪会掉吧！
胀,U+80C0,1,eg_ms_omed_ms21#0,恭喜鸟：恭喜鸟膨胀了。
胃,U+80C3,1,ev_ending12#0,卡特莉·伊奈：越吊胃口越来劲。
胯,U+80EF,1,ev_mon_st03#0,马蒂斯：总觉得胯下那一带
胶,U+80F6,1,eg_ms_kken_at2,胶原蛋白
脂,U+8102,1,menu_dic_208#1,脂肪会掉吧！
脊,U+810A,1,ev_end_pre19#1,特上牛小排和上里脊和特上牛小排和上横膈膜，
脐,U+8110,1,trump_pikkarin_tk,把肚脐藏好。会被狙哦。
脯,U+812F,1,d_dung_0691#4,都可以拍胸脯说自己在做正确的事！
腥,U+8165,1,ev_gho_int_c35#1,那种东西终究是鱼腥草开得很盛哦。
腮,U+816E,1,ev_october5#1,腮帮子掉了，身子都软成嘟噜
膈,U+8188,1,ev_end_pre19#1,上里脊和特上牛小排和上横膈膜，还有
膝,U+819D,1,ev_solo_atashi9#1,感动得膝盖都在打颤呀
膨,U+81A8,1,eg_ms_omed_ms21#0,恭喜鸟：恭喜鸟膨胀了。
臂,U+81C2,1,menu_dic_eg_le_szak#0,番号变N使N-08使！手臂装备的机枪，
航,U+822A,1,ev_march25#1,难得就不能送宇宙军航天飞机？
艰,U+8270,1,eg_pk_aiss_l,气之使者：气竟是如此艰难！
芭,U+82AD,1,menu_dic_202#6,兴趣特技：看看芭蕾练出来的
苣,U+82E3,1,menu_dic_322#0,参加动机：被菊苣部队
苹,U+82F9,1,menu_dic_eg_le_ares#1,苹果备一根削、逃上的假发削
荚,U+835A,1,menu_dic_eg_le_ares#2,连竹荚鱼的早作卸也掌握了的他，
荞,U+835E,1,eg_ev_jjdv_w,运动服恶魔：喂。、去买荞麦面包来。
荣,U+8363,1,ev_c_call64#1,能出演这游戏很荣幸。
荪,U+836A,1,ev_march9#1,鱼翅和竹荪和鱼翅和北京鸭和
莲,U+83B2,1,ev_solo_atashi30#1,鱼翅和榴莲的万魔殿风
菊,U+83CA,1,menu_dic_322#0,参加动机：被菊苣部队
萎,U+840E,1,ev_tue_st01#1,荒废枯萎的地形呢！
著,U+8457,1,boss_ata8_que_19#0,少用带来的力今是战弱，显著减少了！
蔓,U+8513,1,ev_thu_cl22#0,彭普蒂：病毒转眼间蔓延开来
蔗,U+8517,1,menu_dic_172#7,很好吃哦！甘蔗！
蔬,U+852C,1,ev_thu_cl11#1,谁讨厌蔬菜？
蔽,U+853D,1,boss_aki_actmenu#1,爱与蒙蔽
薰,U+85B0,1,ev_solo_atashi46#0,莉·伊奈：豪华别墅里，被薰衣草香包围着
蘸,U+8638,1,ev_solo_inu32#1,味道随便蘸着吃！
蚀,U+8680,1,ev_tue_cl11#1,我的气合开始被侵蚀！
蜥,U+8725,1,eg_pk_amaz_at1,火蜥蜴之剑
蜴,U+8734,1,eg_pk_amaz_at1,火蜥蜴之剑
衔,U+8854,1,eg_tg_omeg_vo12,欧米茄：衔尾蛇战土费疲起鸣门漩涡！
裆,U+88C6,1,ev_fri_st32#1,最终幻想X-3里瓦卡的兜裆布
裙,U+88D9,1,ev_solo_inu12#0,卡特莉·伊努的围裙
褪,U+892A,1,eg_ms_drgf_d,蜻蜓龙：蜻蜓龙的衣褪了！
誉,U+8A89,1,ev_solo_ramp37#1,赌上名誉来修蛋吗！
诀,U+8BC0,1,menu_dic_eg_du_ifrt#2,低怪火、去烤，才是料理的诀窍！
诃,U+8BC3,1,test_movie_player#46,堂吉诃德
诗,U+8BD7,1,ev_gen_no541#0,伊藤贤：浪漫沙加 吟游诗人之歌
诚,U+8BDA,1,d_egg_ev09_07#2,以及赤诚专一之人！
谍,U+8C0D,1,dg_common_tekken47,勇：间谍啊！
谚,U+8C1A,1,f_thu_31#0,是吾阿尔玛之月传承下来的谚语的说！
豁,U+8C41,1,d_dung_0489#1,这个，几乎没赚哟！我都豁出命了！
贞,U+8D1E,1,ev_solo_gf9#0,圣女贞德也是这样！
贤,U+8D24,1,ev_gen_no541#0,伊藤贤：浪漫沙加 吟游诗人之歌
贫,U+8D2B,1,ev_mon_st09#1,贫弱，前去晋见星球王族的将
贷,U+8D37,1,menu_dic_252#0,参加动机：公寓贷款
贿,U+8D3F,1,trump_shorioti_tk#0,喂。这是贿赂。十圆。
赂,U+8D42,1,trump_shorioti_tk#0,喂。这是贿赂。十圆。
赋,U+8D4B,1,d_dung_0543#2,会被赋予非常巨大的力量！
赝,U+8D5D,1,ev_tue_cl08#1,力量蛋不过是赝品！
踌,U+8E0C,1,eg_ms_kken_d,克拉肯正对首次现身的大力踌躇着！
蹈,U+8E48,1,eg_cl_lamp_ms33#0,灯南瓜：灯南瓜啊，那舞蹈也未免
躇,U+8E87,1,eg_ms_kken_d,拉肯正对首次现身的大力踌躇着！
轴,U+8F74,1,ev_plo_test#61,啊，别那样。别把卷轴速度加快。
辰,U+8FB0,1,eg_bo_mots_vo21,莫特·苏蒙：来吧4。时辰到了，向自己的挑战4。。
迈,U+8FC8,1,eg_cv_paz3_ms32,解谜3：三男向新世界迈出了第一步！
逗,U+9017,1,menu_dic_63#4,逗大家开心。
逞,U+901E,1,f_sun_41#1,没什么好逞能的说。
遣,U+9063,1,d_dung_0286#3,受眠姬大人所遣而来！
郁,U+90C1,1,general_68_l,忧郁！
鄙,U+9119,1,f_ear_04,马蒂斯：比贾多还卑鄙的家伙。
酣,U+9163,1,ev_solo_daruma4#1,战事正酣，您在做什么。？
酪,U+916A,1,ev_solo_atashi23#1,鱼和蓝纹奶酪的香菜包
酿,U+917F,1,d_egg_ev05_03#0,骑士：用法一旦错了，就会酿成大祸！
醋,U+918B,1,ev_thu_cl78#0,卡特莉·伊奈：不吃醋也没关系哟
钉,U+9489,1,d_dung_1002#1,迷宫研究员：要是斩钉截铁说做错了就好了
铂,U+94C2,1,ev_solo_egg17#2,鸣门先枕和铂金钻石饰品呢呀
铠,U+94E0,1,ev_solo_atashi56#1,穿上「卡特莉行星传说铠甲」
银,U+94F6,1,ev_gen_no516#1,银兵酱的体臭问题可真让人头
铺,U+94FA,1,f_ear_01#2,已经铺开了的说！
销,U+9500,1,menu_dic_32#0,参加动机：因为有电话推销！
锄,U+9504,1,menu_dic_22#3,擅长：锄头倒是拿过
锐,U+9510,1,f_wed_20#1,还挺敏锐的嘛！
锗,U+9517,1,eg_le_kegg_vo3#2,艾格曼王：脱氧核糖瑞士虫锗光————束！
镇,U+9547,1,eg_tg_flya_ms23#0,欧米茄飞手：欧米茄飞手的镇静弹。
闘,U+95D8,1,eg_pw_isgn_vo2,况：这就是摔角手小军的喜闘逆水平——。。
阎,U+960E,1,eg_tg_mhel_vo31#0,播报：阎魔大力披上了。终于超决了
阪,U+962A,1,ev_january27#0,惠比寿：来大阪的时候，务必。
陋,U+964B,1,eg_bo_boil_vo33#0,四次元煮蛋：为了进化，丑陋的姿要睡去！
隶,U+96B6,1,menu_field_main_unit,隶属于此！
雍,U+96CD,1,ev_ending141#2,鱼子和河豚全餐再加堂培里雍
霞,U+971E,1,ev_march11#0,卡特莉·伊奈：望着红色晚霞，在挤得要死
霸,U+9738,1,ev_thu_bs11#1,却感觉不到霸气哪！
韧,U+97E7,1,menu_dic_eg_pw_nymp#1,人激迷住的商气宁芙！他柔韧的唤
韭,U+97ED,1,ev_solo_atashi18#1,韭菜大蒜鸡蛋拌鲜奶油哟呀
颈,U+9888,1,ev_thu_cl37#2,可是解析遇到了瓶颈！
飓,U+98D3,1,menu_trump014#0,唤来飓风，
飙,U+98D9,1,ev_gho_cl_a47#1,一个劲往上飙啊。
饲,U+9972,1,trump_invin_tk,吃了力量饲料，今天也精神。
饴,U+9974,1,menu_dic_570#6,兴趣特技：千岁饴！
饵,U+9975,1,general_11_w#0,再怎么逃也是】的饵食啊
饺,U+997A,1,menu_dic_eg_du_nink#0,拉面、意面、饺子、白馒头！
驯,U+9A6F,1,dg_common_tekken32,勇：那只驯鹿
骆,U+9A86,1,dg_common_tekken14,勇：骑着骆驼
鬃,U+9B03,1,menu_dic_eg_du_jido#1,了不被班上的朋友小看，竖鬃总是带回家！
鱿,U+9C7F,1,ev_spring8#1,去鱿鱼之星呀
鲽,U+9CBD,1,eg_cl_hade_vo22,派手斯：核恼的鲽，让开。
鳄,U+9CC4,1,menu_dic_eg_we_same#0,像把天使吞雄了的鳄鱼、荒使的鲨鱼那样，
鸯,U+9E2F,1,menu_dic_eg_cl_matu#0,心意相通、一辈子相伴的鸳鸯夫妇！
鸳,U+9E33,1,menu_dic_eg_cl_matu#0,能心意相通、一辈子相伴的鸳鸯夫妇！
鹌,U+9E4C,1,menu_trump032#0,变得像鹌鹑一样小！
鹑,U+9E51,1,menu_trump032#0,变得像鹌鹑一样小！
鹰,U+9E70,1,ev_solo_atashi47#2,印尼菜加甜点鹰呢呀
鹿,U+9E7F,1,dg_common_tekken32,勇：那只驯鹿
鼬,U+9F2C,1,ev_thu_st34,以前镰鼬。。
龄,U+9F84,1,ev_mini_sun04#1,Dead Gun保龄。
龇,U+9F87,1,eg_pw_kimr_vo2#0,奇美拉王：不打吗不龇牙吗
龟,U+9F9F,1,menu_dic_eg_le_denb#0,明明是乌龟，却会挠谁恋物癖的今家伙
丼,U+4E3C,2,ev_ending130c,雅：牛、有牛丼吗？
丼,U+4E3C,2,ev_solo_egg13#0,鳗鱼套餐和天妇罗套餐和牛丼套餐和
亿,U+4EBF,2,eg_le_baha_ms3,哈穆乔：爸爸穆乔放出了十亿核爆。
亿,U+4EBF,2,eg_le_baha_ms31,哈穆乔：爸爸穆乔放出了十亿核爆。
仍,U+4ECD,2,ev_gho_cl_a126#0,蒂安：虽说七人到齐，前途仍是未知！
仍,U+4ECD,2,d_egg_ev01_02#2,仍与现世相连！
伍,U+4F0D,2,menu_dic_eg_cv_wood#0,定妆况的马里伍德球
伍,U+4F0D,2,d_dung_0282#0,有不说话就扑上来的队伍吧！
伎,U+4F0E,2,menu_dic_259#0,参加动机：为了传播歌舞伎
伎,U+4F0E,2,menu_dic_259#6,兴趣特技：歌舞伎之街也
伽,U+4F3D,2,d_dung_0071#0,吉尔伽美什：抱歉啊
伽,U+4F3D,2,d_dung_0072#0,吉尔伽美什：能走到这里，好！
