char,hex,glyph
△,U+25B3,213
『,U+300E,214
』,U+300F,215
O,U+004F,216
e,U+0065,217
E,U+0045,218
a,U+0061,219
P,U+0050,220
T,U+0054,221
i,U+0069,222
K,U+004B,223
n,U+006E,224
-,U+002D,225
t,U+0074,226
o,U+006F,227
N,U+004E,228
S,U+0053,229
Y,U+0059,230
D,U+0044,231
F,U+0046,232
s,U+0073,233
d,U+0064,234
y,U+0079,235
r,U+0072,236
A,U+0041,237
C,U+0043,238
g,U+0067,239
u,U+0075,240
k,U+006B,241
c,U+0063,242
l,U+006C,243
R,U+0052,244
L,U+004C,245
h,U+0068,246
m,U+006D,247
B,U+0042,248
I,U+0049,249
v,U+0076,250
.,U+002E,251
G,U+0047,252
p,U+0070,253
w,U+0077,254
H,U+0048,255
f,U+0066,256
M,U+004D,257
',U+0027,258
U,U+0055,259
W,U+0057,260
b,U+0062,261
Q,U+0051,262
X,U+0058,263
Z,U+005A,264
%,U+0025,265
",",U+002C,266
?,U+003F,267
J,U+004A,268
V,U+0056,269
j,U+006A,270
q,U+0071,271
x,U+0078,272
z,U+007A,273
ヴ,U+30F4,274
的,U+7684,275
了,U+4E86,276
不,U+4E0D,277
是,U+662F,278
人,U+4EBA,279
这,U+8FD9,280
斯,U+65AF,281
特,U+7279,282
来,U+6765,283
一,U+4E00,284
我,U+6211,285
里,U+91CC,286
蒂,U+8482,287
好,U+597D,288
啊,U+554A,289
在,U+5728,290
那,U+90A3,291
蛋,U+86CB,292
也,U+4E5F,293
说,U+8BF4,294
有,U+6709,295
巴,U+5DF4,296
下,U+4E0B,297
就,U+5C31,298
力,U+529B,299
大,U+5927,300
么,U+4E48,301
上,U+4E0A,302
可,U+53EF,303
能,U+80FD,304
卡,U+5361,305
动,U+52A8,306
伊,U+4F0A,307
安,U+5B89,308
出,U+51FA,309
之,U+4E4B,310
塞,U+585E,311
子,U+5B50,312
把,U+628A,313
着,U+7740,314
你,U+4F60,315
被,U+88AB,316
机,U+673A,317
要,U+8981,318
莉,U+8389,319
地,U+5730,320
到,U+5230,321
加,U+52A0,322
尔,U+5C14,323
去,U+53BB,324
没,U+6CA1,325
吧,U+5427,326
星,U+661F,327
奈,U+5948,328
想,U+60F3,329
会,U+4F1A,330
对,U+5BF9,331
升,U+5347,332
格,U+683C,333
长,U+957F,334
样,U+6837,335
们,U+4EEC,336
马,U+9A6C,337
克,U+514B,338
得,U+5F97,339
用,U+7528,340
开,U+5F00,341
迷,U+8FF7,342
自,U+81EA,343
气,U+6C14,344
过,U+8FC7,345
看,U+770B,346
艾,U+827E,347
打,U+6253,348
部,U+90E8,349
吗,U+5417,350
击,U+51FB,351
手,U+624B,352
为,U+4E3A,353
什,U+4EC0,354
兴,U+5174,355
战,U+6218,356
和,U+548C,357
心,U+5FC3,358
中,U+4E2D,359
个,U+4E2A,360
技,U+6280,361
起,U+8D77,362
怪,U+602A,363
体,U+4F53,364
趣,U+8DA3,365
队,U+961F,366
生,U+751F,367
还,U+8FD8,368
次,U+6B21,369
军,U+519B,370
拉,U+62C9,371
擅,U+64C5,372
成,U+6210,373
给,U+7ED9,374
点,U+70B9,375
阶,U+9636,376
参,U+53C2,377
呢,U+5462,378
哦,U+54E6,379
住,U+4F4F,380
变,U+53D8,381
事,U+4E8B,382
小,U+5C0F,383
以,U+4EE5,384
呀,U+5440,385
宝,U+5B9D,386
宫,U+5BAB,387
攻,U+653B,388
家,U+5BB6,389
最,U+6700,390
都,U+90FD,391
发,U+53D1,392
曼,U+66FC,393
真,U+771F,394
话,U+8BDD,395
多,U+591A,396
新,U+65B0,397
梅,U+6885,398
王,U+738B,399
阿,U+963F,400
像,U+50CF,401
龙,U+9F99,402
半,U+534A,403
回,U+56DE,404
别,U+522B,405
时,U+65F6,406
种,U+79CD,407
再,U+518D,408
妈,U+5988,409
鲁,U+9C81,410
从,U+4ECE,411
全,U+5168,412
当,U+5F53,413
姿,U+59FF,414
将,U+5C06,415
走,U+8D70,416
行,U+884C,417
明,U+660E,418
殿,U+6BBF,419
勇,U+52C7,420
进,U+8FDB,421
正,U+6B63,422
情,U+60C5,423
场,U+573A,424
熟,U+719F,425
请,U+8BF7,426
现,U+73B0,427
努,U+52AA,428
道,U+9053,429
天,U+5929,430
英,U+82F1,431
美,U+7F8E,432
雄,U+96C4,433
俺,U+4FFA,434
量,U+91CF,435
方,U+65B9,436
精,U+7CBE,437
元,U+5143,438
喜,U+559C,439
迪,U+8FEA,440
然,U+7136,441
嗯,U+55EF,442
神,U+795E,443
主,U+4E3B,444
哪,U+54EA,445
作,U+4F5C,446
四,U+56DB,447
弗,U+5F17,448
定,U+5B9A,449
莱,U+83B1,450
掉,U+6389,451
利,U+5229,452
招,U+62DB,453
合,U+5408,454
所,U+6240,455
波,U+6CE2,456
球,U+7403,457
连,U+8FDE,458
才,U+624D,459
死,U+6B7B,460
怎,U+600E,461
只,U+53EA,462
见,U+89C1,463
后,U+540E,464
女,U+5973,465
入,U+5165,466
本,U+672C,467
记,U+8BB0,468
达,U+8FBE,469
员,U+5458,470
比,U+6BD4,471
知,U+77E5,472
世,U+4E16,473
做,U+505A,474
草,U+8349,475
强,U+5F3A,476
恶,U+6076,477
德,U+5FB7,478
终,U+7EC8,479
门,U+95E8,480
哈,U+54C8,481
斗,U+6597,482
复,U+590D,483
装,U+88C5,484
前,U+524D,485
降,U+964D,486
很,U+5F88,487
身,U+8EAB,488
奇,U+5947,489
活,U+6D3B,490
米,U+7C73,491
友,U+53CB,492
播,U+64AD,493
月,U+6708,494
械,U+68B0,495
已,U+5DF2,496
面,U+9762,497
经,U+7ECF,498
让,U+8BA9,499
空,U+7A7A,500
士,U+58EB,501
备,U+5907,502
啦,U+5566,503
恩,U+6069,504
通,U+901A,505
标,U+6807,506
普,U+666E,507
莫,U+83AB,508
使,U+4F7F,509
伙,U+4F19,510
界,U+754C,511
觉,U+89C9,512
吃,U+5403,513
者,U+8005,514
飞,U+98DE,515
感,U+611F,516
完,U+5B8C,517
等,U+7B49,518
干,U+5E72,519
究,U+7A76,520
头,U+5934,521
关,U+5173,522
谢,U+8C22,523
颗,U+9897,524
反,U+53CD,525
己,U+5DF1,526
无,U+65E0,527
意,U+610F,528
分,U+5206,529
西,U+897F,530
魔,U+9B54,531
演,U+6F14,532
爱,U+7231,533
玛,U+739B,534
儿,U+513F,535
虫,U+866B,536
法,U+6CD5,537
重,U+91CD,538
占,U+5360,539
度,U+5EA6,540
收,U+6536,541
解,U+89E3,542
弹,U+5F39,543
夫,U+592B,544
实,U+5B9E,545
哟,U+54DF,546
派,U+6D3E,547
男,U+7537,548
逃,U+9003,549
彭,U+5F6D,550
欢,U+6B22,551
相,U+76F8,552
命,U+547D,553
始,U+59CB,554
研,U+7814,555
太,U+592A,556
呼,U+547C,557
谁,U+8C01,558
物,U+7269,559
间,U+95F4,560
防,U+9632,561
骑,U+9A91,562
他,U+4ED6,563
光,U+5149,564
超,U+8D85,565
层,U+5C42,566
三,U+4E09,567
酱,U+9171,568
算,U+7B97,569
浪,U+6D6A,570
鱼,U+9C7C,571
灵,U+7075,572
号,U+53F7,573
坏,U+574F,574
托,U+6258,575
金,U+91D1,576
害,U+5BB3,577
转,U+8F6C,578
伤,U+4F24,579
蒙,U+8499,580
边,U+8FB9,581
放,U+653E,582
果,U+679C,583
造,U+9020,584
思,U+601D,585
持,U+6301,586
罗,U+7F57,587
速,U+901F,588
沙,U+6C99,589
红,U+7EA2,590
近,U+8FD1,591
据,U+636E,592
数,U+6570,593
煮,U+716E,594
集,U+96C6,595
工,U+5DE5,596
该,U+8BE5,597
先,U+5148,598
带,U+5E26,599
拿,U+62FF,600
向,U+5411,601
总,U+603B,602
消,U+6D88,603
华,U+534E,604
库,U+5E93,605
桑,U+6851,606
奥,U+5965,607
少,U+5C11,608
旗,U+65D7,609
鸣,U+9E23,610
今,U+4ECA,611
快,U+5FEB,612
欧,U+6B27,613
其,U+5176,614
老,U+8001,615
皮,U+76AE,616
件,U+4EF6,617
候,U+5019,618
父,U+7236,619
白,U+767D,620
阵,U+9635,621
孩,U+5B69,622
讨,U+8BA8,623
嘛,U+561B,624
捕,U+6355,625
眼,U+773C,626
第,U+7B2C,627
结,U+7ED3,628
丹,U+4E39,629
又,U+53C8,630
礼,U+793C,631
基,U+57FA,632
爷,U+7237,633
琼,U+743C,634
靠,U+9760,635
信,U+4FE1,636
外,U+5916,637
往,U+5F80,638
母,U+6BCD,639
直,U+76F4,640
如,U+5982,641
敌,U+654C,642
负,U+8D1F,643
切,U+5207,644
威,U+5A01,645
改,U+6539,646
水,U+6C34,647
因,U+56E0,648
平,U+5E73,649
木,U+6728,650
名,U+540D,651
与,U+4E0E,652
亚,U+4E9A,653
剑,U+5251,654
同,U+540C,655
呵,U+5475,656
守,U+5B88,657
势,U+52BF,658
啪,U+556A,659
器,U+5668,660
字,U+5B57,661
炸,U+70B8,662
处,U+5904,663
教,U+6559,664
路,U+8DEF,665
东,U+4E1C,666
石,U+77F3,667
找,U+627E,668
选,U+9009,669
待,U+5F85,670
怕,U+6015,671
火,U+706B,672
存,U+5B58,673
巨,U+5DE8,674
状,U+72B6,675
箱,U+7BB1,676
试,U+8BD5,677
乱,U+4E71,678
听,U+542C,679
土,U+571F,680
御,U+5FA1,681
化,U+5316,682
牌,U+724C,683
而,U+800C,684
花,U+82B1,685
许,U+8BB8,686
传,U+4F20,687
失,U+5931,688
梦,U+68A6,689
类,U+7C7B,690
形,U+5F62,691
笑,U+7B11,692
鸟,U+9E1F,693
受,U+53D7,694
叫,U+53EB,695
游,U+6E38,696
难,U+96BE,697
冬,U+51AC,698
此,U+6B64,699
油,U+6CB9,700
泡,U+6CE1,701
粉,U+7C89,702
黑,U+9ED1,703
示,U+793A,704
落,U+843D,705
交,U+4EA4,706
停,U+505C,707
眠,U+7720,708
败,U+8D25,709
办,U+529E,710
稍,U+7A0D,711
耐,U+8010,712
费,U+8D39,713
雾,U+96FE,714
吾,U+543E,715
微,U+5FAE,716
您,U+60A8,717
钱,U+94B1,718
兔,U+5154,719
必,U+5FC5,720
戏,U+620F,721
挑,U+6311,722
束,U+675F,723
亲,U+4EB2,724
吉,U+5409,725
塔,U+5854,726
立,U+7ACB,727
肉,U+8089,728
茄,U+8304,729
二,U+4E8C,730
刺,U+523A,731
各,U+5404,732
常,U+5E38,733
问,U+95EE,734
布,U+5E03,735
于,U+4E8E,736
匙,U+5319,737
原,U+539F,738
启,U+542F,739
弱,U+5F31,740
松,U+677E,741
核,U+6838,742
节,U+8282,743
角,U+89D2,744
钥,U+94A5,745
呐,U+5450,746
型,U+578B,747
恭,U+606D,748
滚,U+6EDA,749
由,U+7531,750
色,U+8272,751
食,U+98DF,752
冲,U+51B2,753
凡,U+51E1,754
厌,U+538C,755
运,U+8FD0,756
助,U+52A9,757
指,U+6307,758
祖,U+7956,759
高,U+9AD8,760
年,U+5E74,761
满,U+6EE1,762
音,U+97F3,763
倒,U+5012,764
喂,U+5582,765
嘿,U+563F,766
烦,U+70E6,767
雅,U+96C5,768
两,U+4E24,769
叶,U+53F6,770
报,U+62A5,771
挺,U+633A,772
跳,U+8DF3,773
透,U+900F,774
海,U+6D77,775
索,U+7D22,776
夏,U+590F,777
爸,U+7238,778
目,U+76EE,779
苏,U+82CF,780
位,U+4F4D,781
居,U+5C45,782
台,U+53F0,783
哎,U+54CE,784
止,U+6B62,785
猿,U+733F,786
拜,U+62DC,787
搞,U+641E,788
早,U+65E9,789
服,U+670D,790
毒,U+6BD2,791
热,U+70ED,792
紧,U+7D27,793
肌,U+808C,794
诶,U+8BF6,795
跟,U+8DDF,796
题,U+9898,797
乎,U+4E4E,798
吸,U+5438,799
导,U+5BFC,800
性,U+6027,801
拍,U+62CD,802
日,U+65E5,803
更,U+66F4,804
痛,U+75DB,805
臭,U+81ED,806
袋,U+888B,807
诺,U+8BFA,808
输,U+8F93,809
邪,U+90AA,810
错,U+9519,811
卫,U+536B,812
够,U+591F,813
姆,U+59C6,814
姬,U+59EC,815
按,U+6309,816
损,U+635F,817
流,U+6D41,818
漫,U+6F2B,819
玩,U+73A9,820
假,U+5047,821
宙,U+5B99,822
提,U+63D0,823
效,U+6548,824
春,U+6625,825
认,U+8BA4,826
雷,U+96F7,827
历,U+5386,828
宇,U+5B87,829
客,U+5BA2,830
幻,U+5E7B,831
座,U+5EA7,832
设,U+8BBE,833
足,U+8DB3,834
买,U+4E70,835
决,U+51B3,836
应,U+5E94,837
静,U+9759,838
鬼,U+9B3C,839
配,U+914D,840
饭,U+996D,841
公,U+516C,842
叔,U+53D4,843
口,U+53E3,844
呜,U+545C,845
哇,U+54C7,846
哼,U+54FC,847
妹,U+59B9,848
姐,U+59D0,849
尽,U+5C3D,850
科,U+79D1,851
香,U+9999,852
乌,U+4E4C,853
保,U+4FDD,854
咕,U+5495,855
婚,U+5A5A,856
狠,U+72E0,857
破,U+7834,858
移,U+79FB,859
赢,U+8D62,860
临,U+4E34,861
取,U+53D6,862
妖,U+5996,863
拳,U+62F3,864
系,U+7CFB,865
暗,U+6697,866
爆,U+7206,867
独,U+72EC,868
理,U+7406,869
风,U+98CE,870
嘎,U+560E,871
婆,U+5A46,872
汁,U+6C41,873
激,U+6FC0,874
瓜,U+74DC,875
统,U+7EDF,876
置,U+7F6E,877
肯,U+80AF,878
兹,U+5179,879
初,U+521D,880
南,U+5357,881
却,U+5374,882
君,U+541B,883
尼,U+5C3C,884
晃,U+6643,885
模,U+6A21,886
硬,U+786C,887
七,U+4E03,888
些,U+4E9B,889
修,U+4FEE,890
闪,U+95EA,891
任,U+4EFB,892
兰,U+5170,893
冻,U+51BB,894
卜,U+535C,895
史,U+53F2,896
吓,U+5413,897
喝,U+559D,898
团,U+56E2,899
容,U+5BB9,900
式,U+5F0F,901
忘,U+5FD8,902
慢,U+6162,903
欲,U+6B32,904
麻,U+9EBB,905
务,U+52A1,906
卢,U+5362,907
察,U+5BDF,908
投,U+6295,909
择,U+62E9,910
换,U+6362,911
摇,U+6447,912
绝,U+7EDD,913
谜,U+8C1C,914
便,U+4FBF,915
劲,U+52B2,916
杰,U+6770,917
电,U+7535,918
贡,U+8D21,919
随,U+968F,920
凯,U+51EF,921
卷,U+5377,922
味,U+5473,923
息,U+606F,924
护,U+62A4,925
爹,U+7239,926
睡,U+7761,927
编,U+7F16,928
冰,U+51B0,929
况,U+51B5,930
准,U+51C6,931
凉,U+51C9,932
古,U+53E4,933
图,U+56FE,934
底,U+5E95,935
怒,U+6012,936
悟,U+609F,937
接,U+63A5,938
深,U+6DF1,939
猪,U+732A,940
竞,U+7ADE,941
虽,U+867D,942
计,U+8BA1,943
铁,U+94C1,944
何,U+4F55,945
写,U+5199,946
告,U+544A,947
唤,U+5524,948
娃,U+5A03,949
恢,U+6062,950
灭,U+706D,951
烟,U+70DF,952
脸,U+8138,953
议,U+8BAE,954
齐,U+9F50,955
压,U+538B,956
圣,U+5723,957
组,U+7EC4,958
贾,U+8D3E,959
领,U+9886,960
休,U+4F11,961
低,U+4F4E,962
周,U+5468,963
屋,U+5C4B,964
惠,U+60E0,965
潜,U+6F5C,966
灯,U+706F,967
藏,U+85CF,968
轻,U+8F7B,969
陷,U+9677,970
首,U+9996,971
鸡,U+9E21,972
份,U+4EFD,973
勃,U+52C3,974
寿,U+5BFF,975
差,U+5DEE,976
某,U+67D0,977
柔,U+67D4,978
确,U+786E,979
调,U+8C03,980
鼻,U+9F3B,981
佐,U+4F50,982
刚,U+521A,983
唇,U+5507,984
恋,U+604B,985
沫,U+6CAB,986
穆,U+7A46,987
胜,U+80DC,988
蛾,U+86FE,989
警,U+8B66,990
迎,U+8FCE,991
丽,U+4E3D,992
亮,U+4EAE,993
啾,U+557E,994
希,U+5E0C,995
志,U+5FD7,996
态,U+6001,997
戈,U+6208,998
求,U+6C42,999
章,U+7AE0,1000
似,U+4F3C,1001
单,U+5355,1002
吼,U+543C,1003
夺,U+593A,1004
张,U+5F20,1005
惑,U+60D1,1006
扑,U+6251,1007
撞,U+649E,1008
盖,U+76D6,1009
续,U+7EED,1010
贩,U+8D29,1011
包,U+5305,1012
唔,U+5514,1013
声,U+58F0,1014
巧,U+5DE7,1015
曲,U+66F2,1016
朝,U+671D,1017
糊,U+7CCA,1018
级,U+7EA7,1019
菜,U+83DC,1020
蓝,U+84DD,1021
踢,U+8E22,1022
酒,U+9152,1023
非,U+975E,1024
鼓,U+9F13,1025
伴,U+4F34,1026
唉,U+5509,1027
查,U+67E5,1028
清,U+6E05,1029
秋,U+79CB,1030
袭,U+88AD,1031
赤,U+8D64,1032
顿,U+987F,1033
十,U+5341,1034
噜,U+565C,1035
旦,U+65E6,1036
片,U+7247,1037
菇,U+83C7,1038
识,U+8BC6,1039
象,U+8C61,1040
丈,U+4E08,1041
丘,U+4E18,1042
危,U+5371,1043
噗,U+5657,1044
射,U+5C04,1045
并,U+5E76,1046
弃,U+5F03,1047
懂,U+61C2,1048
整,U+6574,1049
站,U+7AD9,1050
送,U+9001,1051
钻,U+94BB,1052
霍,U+970D,1053
久,U+4E45,1054
令,U+4EE4,1055
召,U+53EC,1056
忍,U+5FCD,1057
抱,U+62B1,1058
故,U+6545,1059
步,U+6B65,1060
萨,U+8428,1061
表,U+8868,1062
险,U+9669,1063
兵,U+5175,1064
密,U+5BC6,1065
撒,U+6492,1066
散,U+6563,1067
望,U+671B,1068
杀,U+6740,1069
盯,U+76EF,1070
苦,U+82E6,1071
获,U+83B7,1072
语,U+8BED,1073
乔,U+4E54,1074
副,U+526F,1075
咯,U+54AF,1076
唱,U+5531,1077
引,U+5F15,1078
森,U+68EE,1079
歉,U+6B49,1080
温,U+6E29,1081
瓶,U+74F6,1082
管,U+7BA1,1083
线,U+7EBF,1084
乐,U+4E50,1085
咖,U+5496,1086
妇,U+5987,1087
它,U+5B83,1088
师,U+5E08,1089
帮,U+5E2E,1090
弄,U+5F04,1091
扎,U+624E,1092
扔,U+6254,1093
秘,U+79D8,1094
继,U+7EE7,1095
裂,U+88C2,1096
偷,U+5077,1097
几,U+51E0,1098
品,U+54C1,1099
歌,U+6B4C,1100
画,U+753B,1101
盒,U+76D2,1102
纳,U+7EB3,1103
赌,U+8D4C,1104
兄,U+5144,1105
创,U+521B,1106
卖,U+5356,1107
吻,U+543B,1108
哥,U+54E5,1109
唧,U+5527,1110
榆,U+6986,1111
血,U+8840,1112
赫,U+8D6B,1113
途,U+9014,1114
需,U+9700,1115
内,U+5185,1116
协,U+534F,1117
役,U+5F79,1118
支,U+652F,1119
晚,U+665A,1120
未,U+672A,1121
枪,U+67AA,1122
槽,U+69FD,1123
注,U+6CE8,1124
程,U+7A0B,1125
竟,U+7ADF,1126
茶,U+8336,1127
赶,U+8D76,1128
限,U+9650,1129
预,U+9884,1130
优,U+4F18,1131
哄,U+54C4,1132
啡,U+5561,1133
围,U+56F4,1134
席,U+5E2D,1135
承,U+627F,1136
断,U+65AD,1137
极,U+6781,1138
汤,U+6C64,1139
涕,U+6D95,1140
福,U+798F,1141
突,U+7A81,1142
越,U+8D8A,1143
远,U+8FDC,1144
除,U+9664,1145
顺,U+987A,1146
魂,U+9B42,1147
丰,U+4E30,1148
商,U+5546,1149
尸,U+5C38,1150
操,U+64CD,1151
救,U+6551,1152
概,U+6982,1153
测,U+6D4B,1154
维,U+7EF4,1155
肚,U+809A,1156
舒,U+8212,1157
舞,U+821E,1158
贝,U+8D1D,1159
亨,U+4EA8,1160
刀,U+5200,1161
喷,U+55B7,1162
弥,U+5F25,1163
术,U+672F,1164
汉,U+6C49,1165
视,U+89C6,1166
豚,U+8C5A,1167
贴,U+8D34,1168
雇,U+96C7,1169
验,U+9A8C,1170
仗,U+4ED7,1171
代,U+4EE3,1172
偶,U+5076,1173
匠,U+5320,1174
嘻,U+563B,1175
妙,U+5999,1176
彩,U+5F69,1177
愿,U+613F,1178
挨,U+6328,1179
文,U+6587,1180
族,U+65CF,1181
晴,U+6674,1182
朋,U+670B,1183
每,U+6BCF,1184
炖,U+7096,1185
照,U+7167,1186
穿,U+7A7F,1187
辛,U+8F9B,1188
陨,U+9668,1189
须,U+987B,1190
傻,U+50BB,1191
兽,U+517D,1192
制,U+5236,1193
墙,U+5899,1194
币,U+5E01,1195
帅,U+5E05,1196
恐,U+6050,1197
抓,U+6293,1198
搭,U+642D,1199
期,U+671F,1200
武,U+6B66,1201
液,U+6DB2,1202
湿,U+6E7F,1203
炼,U+70BC,1204
犬,U+72AC,1205
狛,U+72DB,1206
瓦,U+74E6,1207
称,U+79F0,1208
脑,U+8111,1209
若,U+82E5,1210
蘑,U+8611,1211
陆,U+9646,1212
黏,U+9ECF,1213
哭,U+54ED,1214
施,U+65BD,1215
映,U+6620,1216
狱,U+72F1,1217
简,U+7B80,1218
纸,U+7EB8,1219
脚,U+811A,1220
芬,U+82AC,1221
言,U+8A00,1222
豆,U+8C46,1223
闲,U+95F2,1224
丁,U+4E01,1225
争,U+4E89,1226
仑,U+4ED1,1227
伸,U+4F38,1228
俑,U+4FD1,1229
列,U+5217,1230
博,U+535A,1231
厉,U+5389,1232
双,U+53CC,1233
帕,U+5E15,1234
弟,U+5F1F,1235
怀,U+6000,1236
愧,U+6127,1237
抢,U+62A2,1238
漂,U+6F02,1239
猫,U+732B,1240
留,U+7559,1241
疼,U+75BC,1242
睛,U+775B,1243
离,U+79BB,1244
练,U+7EC3,1245
臀,U+81C0,1246
蒜,U+849C,1247
读,U+8BFB,1248
陶,U+9676,1249
雀,U+96C0,1250
丢,U+4E22,1251
乃,U+4E43,1252
义,U+4E49,1253
八,U+516B,1254
农,U+519C,1255
功,U+529F,1256
吐,U+5410,1257
呣,U+5463,1258
宾,U+5BBE,1259
尤,U+5C24,1260
岁,U+5C81,1261
插,U+63D2,1262
枚,U+679A,1263
灾,U+707E,1264
环,U+73AF,1265
繰,U+7E70,1266
葵,U+8475,1267
诸,U+8BF8,1268
赛,U+8D5B,1269
跑,U+8DD1,1270
锤,U+9524,1271
鲨,U+9CA8,1272
且,U+4E14,1273
书,U+4E66,1274
仔,U+4ED4,1275
俘,U+4FD8,1276
吞,U+541E,1277
吵,U+5435,1278
堤,U+5824,1279
夜,U+591C,1280
学,U+5B66,1281
摆,U+6446,1282
既,U+65E2,1283
河,U+6CB3,1284
牙,U+7259,1285
狗,U+72D7,1286
细,U+7EC6,1287
绿,U+7EFF,1288
芙,U+8299,1289
较,U+8F83,1290
遇,U+9047,1291
业,U+4E1A,1292
乘,U+4E58,1293
劈,U+5288,1294
印,U+5370,1295
国,U+56FD,1296
州,U+5DDE,1297
幽,U+5E7D,1298
抽,U+62BD,1299
拼,U+62FC,1300
撤,U+64A4,1301
杆,U+6746,1302
李,U+674E,1303
架,U+67B6,1304
植,U+690D,1305
毫,U+6BEB,1306
永,U+6C38,1307
滑,U+6ED1,1308
番,U+756A,1309
碰,U+78B0,1310
职,U+804C,1311
舔,U+8214,1312
薪,U+85AA,1313
诞,U+8BDE,1314
赏,U+8D4F,1315
软,U+8F6F,1316
露,U+9732,1317
储,U+50A8,1318
医,U+533B,1319
吱,U+5431,1320
咬,U+54AC,1321
影,U+5F71,1322
拥,U+62E5,1323
挥,U+6325,1324
泰,U+6CF0,1325
涌,U+6D8C,1326
聊,U+804A,1327
腻,U+817B,1328
虎,U+864E,1329
蜓,U+8713,1330
蜻,U+873B,1331
蝗,U+8757,1332
锁,U+9501,1333
锅,U+9505,1334
鼠,U+9F20,1335
倍,U+500D,1336
值,U+503C,1337
僵,U+50F5,1338
寻,U+5BFB,1339
急,U+6025,1340
悄,U+6084,1341
拔,U+62D4,1342
旅,U+65C5,1343
